cmd logfilename ps_name
u0_a198   4250  373   1845928 89108 sys_epoll_ 00000000 S com.qualcomm.ftcrobotcontroller
4250
03-08 16:24:25.711   928  1585 I am_proc_start: [0,4250,10198,com.qualcomm.ftcrobotcontroller,activity,com.qualcomm.ftcrobotcontroller/org.firstinspires.ftc.robotcontroller.internal.FtcRobotControllerActivity]
03-08 16:24:25.811   928  1604 I am_proc_bound: [0,4250,com.qualcomm.ftcrobotcontroller]
03-08 16:24:49.631   928  1005 I am_pss  : [4250,10198,com.qualcomm.ftcrobotcontroller,109678592,108158976]
03-08 16:24:50.371  4250  4250 I am_on_resume_called: [0,org.firstinspires.ftc.robotcontroller.internal.FtcRobotControllerActivity]
03-08 16:24:50.811  4250  4250 I am_on_paused_called: [0,org.firstinspires.ftc.robotcontroller.internal.FtcRobotControllerActivity]
03-08 16:25:20.451   928  1005 I am_pss  : [4250,10198,com.qualcomm.ftcrobotcontroller,59828224,57909248]
03-08 16:26:16.371  4250  4250 I am_on_resume_called: [0,org.firstinspires.ftc.robotcontroller.internal.FtcRobotControllerActivity]
03-08 16:26:26.391   928  1005 I am_pss  : [4250,10198,com.qualcomm.ftcrobotcontroller,57362432,55517184]
03-08 16:27:45.901  4250  4250 I am_on_paused_called: [0,org.firstinspires.ftc.robotcontroller.internal.FtcRobotControllerActivity]
03-08 16:28:10.511   928  1005 I am_pss  : [4250,10198,com.qualcomm.ftcrobotcontroller,37176320,35164160]
03-08 16:30:33.091  4250  4250 I am_on_resume_called: [0,org.firstinspires.ftc.robotcontroller.internal.FtcRobotControllerActivity]
03-08 16:30:45.071   928  1005 I am_pss  : [4250,10198,com.qualcomm.ftcrobotcontroller,63613952,61685760]
03-08 16:33:00.111   928  1005 I am_pss  : [4250,10198,com.qualcomm.ftcrobotcontroller,69243904,67211264]
03-08 16:35:00.251   928  1005 I am_pss  : [4250,10198,com.qualcomm.ftcrobotcontroller,86147072,84107264]
03-08 16:36:31.051  4250  6481 V Robocol : received command: CMD_SET_MATCH_NUMBER(14899) 0
03-08 16:36:31.051  4250  6481 V Robocol : received command: CMD_INIT_OP_MODE(14900) TeleOp
03-08 16:36:31.091  4250  6480 I RobotCore: ******************** START - OPMODE TeleOp ********************
03-08 16:36:31.091  4250 14807 I RobotCore: Attempting to switch to op mode TeleOp
03-08 16:36:31.451  4250 14807 D RevExtensions2: Hotswapping hardware map
03-08 16:36:31.451  4250 14807 V RobotCore: DcMotorImpl(type=goBILDA5202SeriesMotor)
03-08 16:36:31.461  4250 14807 V RobotCore: DcMotorImpl(type=Matrix12vMotor)
03-08 16:36:31.461  4250 14807 V RobotCore: DcMotorImpl(type=Matrix12vMotor)
03-08 16:36:31.461  4250 14807 V RobotCore: DcMotorImpl(type=Matrix12vMotor)
03-08 16:36:31.461  4250 14807 V RobotCore: DcMotorImpl(type=Matrix12vMotor)
03-08 16:36:31.461  4250 14807 V RobotCore: DcMotorImpl(type=goBILDA5202SeriesMotor)
03-08 16:36:31.471  4250 14807 V RobotCore: DcMotorImpl(type=goBILDA5202SeriesMotor)
03-08 16:36:31.481  4250 14807 V RobotCore: DcMotorImpl(type=goBILDA5202SeriesMotor)
03-08 16:36:31.491  4250 14807 V ThreadPool: container(0x0858ded0: LinearOpMode) added id=509 TID=0 count=1
03-08 16:36:31.491  4250 14994 V Robocol : sending CMD_NOTIFY_INIT_OP_MODE(6078), attempt: 0
03-08 16:36:31.501  4250 15854 V RobotCore: thread: 'LinearOpMode main' starting...
03-08 16:36:34.731  4250  6481 V Robocol : received command: CMD_RUN_OP_MODE(14942) TeleOp
03-08 16:36:34.771  4250 14994 V Robocol : sending CMD_NOTIFY_RUN_OP_MODE(6114), attempt: 0
03-08 16:36:41.071  4250 15854 D backLeftPower: : 0.15251323929767308
03-08 16:36:41.071  4250 15854 D backRightPower: : 0.15251323929767305
03-08 16:36:41.071  4250 15854 D frontLeftPower: : 0.15251323929767305
03-08 16:36:41.071  4250 15854 D frontRightPower: : 0.15251323929767308
03-08 16:36:41.071  4250 15854 D backLeftVelocity: : -0.0
03-08 16:36:41.081  4250 15854 D backRightVelocity: : 0.0
03-08 16:36:41.081  4250 15854 D frontLeftVelocity: : -0.0
03-08 16:36:41.091  4250 15854 D frontRightVelocity: : 0.0
03-08 16:36:41.131  4250 15854 D backLeftPower: : 0.7071067811865476
03-08 16:36:41.131  4250 15854 D backRightPower: : 0.7071067811865475
03-08 16:36:41.131  4250 15854 D frontLeftPower: : 0.7071067811865475
03-08 16:36:41.131  4250 15854 D frontRightPower: : 0.7071067811865476
